document_id,abstracts,sentiment
33,adversarial example malicious input designed fool machine learning model often transfer one model another allowing attacker mount black box attack without knowledge target model parameter adversarial training process explicitly training model adversarial example order make robust attack reduce test error clean input far adversarial training primarily applied small problem research apply adversarial training imagenet contribution include recommendation succesfully scale adversarial training large model datasets observation adversarial training confers robustness singlestep attack method finding multistep attack method somewhat less transferable singlestep attack method singlestep attack best mounting blackbox attack resolution label leaking effect cause adversarially trained model perform better adversarial example clean example adversarial example construction process us true label model learn exploit regularity construction process,positive
36,task require person automated system reasonto reach conclusion based available information framework probabilistic graphical model presented book provides general approach task approach modelbased allowing interpretable model constructed manipulated reasoning algorithm model also learned automatically data allowing approach used case manually constructing model difficult even impossible uncertainty inescapable aspect realworld application book focus probabilistic model make uncertainty explicit provide model faithful reality probabilistic graphical model discusses variety model spanning bayesian network undirected markov network discrete continuous model extension deal dynamical system relational data class model text describes three fundamental cornerstone representation inference learning presenting basic concept advanced technique finally book considers use proposed framework causal reasoning decision making uncertainty main text chapter provides detailed technical development key idea chapter also include box additional material skill box describe technique case study box discus empirical case related approach described text including application computer vision robotics natural language understanding computational biology concept box present significant concept drawn material chapter instructor reader group chapter various combination core topic technically advanced material suit particular need adaptive computation machine learning series,positive
37,paper provides review commentary past present future numerical optimization algorithm context machine learning application case study text classification training deep neural network discus optimization problem arise machine learning make challenging major theme study largescale machine learning represents distinctive setting stochastic gradient sg method traditionally played central role conventional gradientbased nonlinear optimization technique typically falter based viewpoint present comprehensive theory straightforward yet versatile sg algorithm discus practical behavior highlight opportunity designing algorithm improved performance lead discussion next generation optimization method largescale machine learning including investigation two main stream research technique diminish noise stochastic direction method make use secondorder derivative approximation,positive
38,neural machine translation recently proposed approach machine translation unlike traditional statistical machine translation neural machine translation aim building single neural network jointly tuned maximize translation performance model proposed recently neural machine translation often belong family encoderdecoders consists encoder encodes source sentence fixedlength vector decoder generates translation paper conjecture use fixedlength vector bottleneck improving performance basic encoderdecoder architecture propose extend allowing model automatically softsearch part source sentence relevant predicting target word without form part hard segment explicitly new approach achieve translation performance comparable existing stateoftheart phrasebased system task englishtofrench translation furthermore qualitative analysis reveals softalignments found model agree well intuition,positive
39,paper propose novel neural network model called rnn encoder decoder consists two recurrent neural network rnn one rnn encodes sequence symbol fixedlength vector representation decodes representation another sequence symbol encoder decoder proposed model jointly trained maximize conditional probability target sequence given source sequence performance statistical machine translation system empirically found improve using conditional probability phrase pair computed rnn encoderdecoder additional feature existing loglinear model qualitatively show proposed model learns semantically syntactically meaningful representation linguistic phrase,positive
41,recent advance artificial intelligence ai led widespread industrial adoption machine learning system demonstrating superhuman performance significant number task however surge performance often achieved increased model complexity turning system black box approach causing uncertainty regarding way operate ultimately way come decision ambiguity made problematic machine learning system adopted sensitive yet critical domain value could immense healthcare result scientific interest field explainable artificial intelligence xai field concerned development new method explain interpret machine learning model tremendously reignited recent year study focus machine learning interpretability method specifically literature review taxonomy method presented well link programming implementation hope survey would serve reference point theorist practitioner,negative
42,revisit classic semiparametric problem inference low dimensional parameter presence highdimensional nuisance parameter depart classical setting allowing highdimensional traditional assumption donsker property limit complexity parameter space object break estimate consider use statistical machine learning ml method particularly wellsuited estimation modern highdimensional case ml method perform well employing regularization reduce variance trading regularization bias overfitting practice however regularization bias overfitting estimating cause heavy bias estimator obtained naively plugging ml estimator estimating equation bias result naive estimator failing n consistent n sample size show impact regularization bias overfitting estimation parameter interest removed using two simple yet critical ingredient using neymanorthogonal momentsscores reduced sensitivity respect nuisance parameter estimate making use crossfitting provides efficient form datasplitting call resulting set method double debiased ml dml verify dml delivers point estimator concentrate nneighborhood true parameter value approximately unbiased normally distributed allows construction valid confidence statement generic statistical theory dml elementary simultaneously relies weak theoretical requirement admit use broad array modern ml method estimating nuisance parameter random forest lasso ridge deep neural net boosted tree various hybrid ensemble method illustrate general theory applying provide theoretical property dml applied learn main regression parameter partially linear regression model dml applied learn coefficient endogenous variable partially linear instrumental variable model dml applied learn average treatment effect average treatment effect treated unconfoundedness dml applied learn local average treatment effect instrumental variable setting addition theoretical application also illustrate use dml three empirical example,negative
43,paper describes technical development accuracy assessment recent improved version soilgrids system resolution june update soilgrids provides global prediction standard numeric soil property organic carbon bulk density cation exchange capacity cec ph soil texture fraction coarse fragment seven standard depth cm addition prediction depth bedrock distribution soil class based world reference base wrb usda classification system ca raster layer total prediction based ca soil profile used training stack remote sensingbased soil covariates primarily derived modis land product srtm dem derivative climatic image global landform lithology map used fit ensemble machine learning methodsrandom forest gradient boosting andor multinomial logistic regressionas implemented r package ranger xgboost nnet caret result fold crossvalidation show ensemble model explain coarse fragment ph variation overall average improvement relative accuracy considering amount variation explained comparison previous version soilgrids km spatial resolution range improvement attributed use machine learning instead linear regression considerable investment preparing finer resolution covariate layer insertion additional soil profile development soilgrids could include refinement method incorporate input uncertainty derivation posterior probability distribution per pixel automation spatial modeling soil map generated potentially hundred soil variable another area future research development method multiscale merging soilgrids prediction local andor national gridded soil product eg spatial resolution increasingly accurate complete consistent global soil information produced soilgrids available open data base license,positive
44,federated learning also known collaborative learning machine learning technique train algorithm without transferring data sample across numerous decentralized edge device server strategy differs standard centralized machine learning technique local datasets uploaded single server well traditional decentralized alternative frequently presume local data sample uniformly distributed federated learning allows several actor collaborate development single robust machine learning model without sharing data allowing crucial issue data privacy data security data access right access heterogeneous data addressed defence telecommunication internet thing pharmaceutical industry sector application,positive
45,design novel communicationefficient failurerobust protocol secure aggregation highdimensional data protocol allows server compute sum large userheld data vector mobile device secure manner ie without learning user individual contribution used example federated learning setting aggregate userprovided model update deep neural network prove security protocol honestbutcurious active adversary setting show security maintained even arbitrarily chosen subset user drop time evaluate efficiency protocol show complexity analysis concrete implementation runtime communication overhead remain low even large data set client pool bit input value protocol offer x communication expansion user dimensional vector x expansion user dimensional vector sending data clear,positive
46,experience world multimodal see object hear sound feel texture smell odor taste flavor modality refers way something happens experienced research problem characterized multimodal includes multiple modality order artificial intelligence make progress understanding world around u need able interpret multimodal signal together multimodal machine learning aim build model process relate information multiple modality vibrant multidisciplinary field increasing importance extraordinary potential instead focusing specific multimodal application paper survey recent advance multimodal machine learning present common taxonomy go beyond typical early late fusion categorization identify broader challenge faced multimodal machine learning namely representation translation alignment fusion colearning new taxonomy enable researcher better understand state field identify direction future research,positive
49,central problem machine learning identifying representative set feature construct classification model particular task thesis address problem feature selection machine learning correlation based approach central hypothesis good feature set contain feature highly correlated class yet uncorrelated feature evaluation formula based idea test theory provides operational definition hypothesis cf correlation based feature selection algorithm couple evaluation formula appropriate correlation measure heuristic search strategy cf evaluated experiment artificial natural datasets three machine learning algorithm used c decision tree learner ib instance based learner naive bayes experiment artificial datasets showed cf quickly identifies screen irrelevant redundant noisy feature identifies relevant feature long relevance strongly depend feature natural domain cf typically eliminated well half feature case classification accuracy using reduced feature set equaled bettered accuracy using complete feature set feature selection degraded machine learning performance case feature eliminated highly predictive small area instance space experiment compared cf wrappera well known approach feature selection employ target learning algorithm evaluate feature set many case cf gave comparable result wrapper general outperformed wrapper small datasets cf executes many time faster wrapper allows scale larger datasets two method extending cf handle feature interaction presented experimentally evaluated first considers pair feature second incorporates iii feature weight calculated relief algorithm experiment artificial domain showed method able identify interacting feature natural domain pairwise method gave reliable result using weight provided relief,positive
50,secure multiparty computation mpc allows party perform computation data keeping data private capability great potential machinelearning application facilitates training machinelearning model private data set owned different party evaluation one party private model using another party private data etc although range study implement machinelearning model via secure mpc implementation yet mainstream adoption secure mpc hampered absence flexible software framework thatspeak languageof machinelearning researcher engineer foster adoption secure mpc machine learning present crypten software framework expose popular secure mpc primitive via abstraction common modern machinelearning framework tensor computation automatic differentiation modular neural network paper describes design crypten measure performance stateoftheart model text classification speech recognition image classification benchmark show cryptens gpu support highperformance communication arbitrary number party allows perform efficient private evaluation modern machinelearning model semihonest threat model example two party using crypten securely predict phoneme speech recording using wavletter faster realtime hope crypten spur adoption secure mpc machinelearning community,positive
52,significance accurate simulation fluid important many science engineering problem computationally demanding contrast machinelearning model approximate physic quickly cost accuracy show using machine learning inside traditional fluid simulation improve accuracy speed even example different training data approach open door applying machine learning largescale physical modeling task like airplane design climate prediction numerical simulation fluid play essential role modeling many physical phenomenon weather climate aerodynamics plasma physic fluid well described navierstokes equation solving equation scale remains daunting limited computational cost resolving smallest spatiotemporal feature lead unfavorable tradeoff accuracy tractability use endtoend deep learning improve approximation inside computational fluid dynamic modeling twodimensional turbulent flow direct numerical simulation turbulence largeeddy simulation result accurate baseline solver finer resolution spatial dimension resulting fold computational speedup method remains stable long simulation generalizes forcing function reynolds number outside flow trained contrast blackbox machinelearning approach approach exemplifies scientific computing leverage machine learning hardware accelerator improve simulation without sacrificing accuracy generalization,positive
53,goal supervised learning build concise model distribution class label term predictor feature resulting classifier used assign class label testing instance value predictor feature known value class label unknown paper describes various supervised machine learning classification technique course single chapter cannot complete review supervised machine learning classification algorithm also known induction classification algorithm yet hope reference cited cover major theoretical issue guiding researcher interesting research direction suggesting possible bias combination yet explored,positive
54,study resilience byzantine failure distributed implementation stochastic gradient descent sgd far distributed machine learning framework largely ignored possibility failure especially arbitrary ie byzantine one cause failure include software bug network asynchrony bias local datasets well attacker trying compromise entire system assuming set n worker f byzantine ask resilient sgd without limiting dimension size parameter space first show gradient aggregation rule based linear combination vector proposed worker ie current approach tolerates single byzantine failure formulate resilience property aggregation rule capturing basic requirement guarantee convergence despite f byzantine worker propose krum aggregation rule satisfies resilience property argue first provably byzantineresilient algorithm distributed sgd also report experimental evaluation krum,negative
57,today artificial intelligence still face two major challenge one industry data exists form isolated island strengthening data privacy security propose possible solution challenge secure federated learning beyond federatedlearning framework first proposed google introduce comprehensive secure federatedlearning framework includes horizontal federated learning vertical federated learning federated transfer learning provide definition architecture application federatedlearning framework provide comprehensive survey existing work subject addition propose building data network among organization based federated mechanism effective solution allowing knowledge shared without compromising user privacy,positive
59,increasing number decision regarding daily life human being controlled artificial intelligence machine learning ml algorithm sphere ranging healthcare transportation education college admission recruitment provision loan many realm since touch many aspect life crucial develop ml algorithm accurate also objective fair recent study shown algorithmic decision making may inherently prone unfairness even intention article present overview main concept identifying measuring improving algorithmic fairness using ml algorithm focusing primarily classification task article begin discussing cause algorithmic bias unfairness common definition measure fairness fairnessenhancing mechanism reviewed divided preprocess inprocess postprocess mechanism comprehensive comparison mechanism conducted toward better understanding mechanism used different scenario article end reviewing several emerging research subfields algorithmic fairness beyond classification,positive
63,decision tree classifier regarded standout wellknown method data classification representation classifier different researcher various field background considered problem extending decision tree available data machine study pattern recognition statistic various field medical disease analysis text classification user smartphone classification image many employment decision tree classifier proposed many way paper provides detailed approach decision tree furthermore paper specific algorithmsapproaches used datasets outcome achieved evaluated outlined comprehensively addition approach analyzed discussed illustrate theme author identify accurate classifier result us different type datasets discussed finding analyzed,positive
64,large scale benchmark molecular machine learning consisting multiple public datasets metric featurizations learning algorithm,positive
65,machine learning widely used practice produce predictive model application image processing speech text recognition model accurate trained large amount data collected different source however massive data collection raise privacy concern paper present new efficient protocol privacy preserving machine learning linear regression logistic regression neural network training using stochastic gradient descent method protocol fall twoserver model data owner distribute private data among two noncolluding server train various model joint data using secure twoparty computation pc develop new technique support secure arithmetic operation shared decimal number propose mpcfriendly alternative nonlinear function sigmoid softmax superior prior work implement system c experiment validate protocol several order magnitude faster state art implementation privacy preserving linear logistic regression scale million data sample thousand feature also implement first privacy preserving system training neural network,positive
68,interpretability machine learning ml crucial high stake decision troubleshooting work provide fundamental principle interpretable ml dispel common misunderstanding dilute importance crucial topic also identify technical challenge area interpretable machine learning provide history background problem problem classically important recent problem arisen last year problem optimizing sparse logical model decision tree optimization scoring system placing constraint generalized additive model encourage sparsity better interpretability modern casebased reasoning including neural network matching causal inference complete supervised disentanglement neural network complete even partial unsupervised disentanglement neural network dimensionality reduction data visualization machine learning model incorporate physic generative causal constraint characterization therashomon setof good model interpretable reinforcement learning survey suitable starting point statistician computer scientist interested working interpretable machine learning,positive
69,brain tumor classification play important role clinical diagnosis effective treatment work propose method brain tumor classification using ensemble deep feature machine learning classifier proposed framework adopt concept transfer learning us several pretrained deep convolutional neural network extract deep feature brain magnetic resonance mr image extracted deep feature evaluated several machine learning classifier top three deep feature perform well several machine learning classifier selected concatenated ensemble deep feature fed several machine learning classifier predict final output evaluate different kind pretrained model deep feature extractor machine learning classifier effectiveness ensemble deep feature brain tumor classification use three different brain magnetic resonance imaging mri datasets openly accessible web experimental result demonstrate ensemble deep feature help improving performance significantly case support vector machine svm radial basis function rbf kernel outperforms machine learning classifier especially large datasets,positive
70,machine learning one fastest growing area computer science farreaching application aim textbook introduce machine learning algorithmic paradigm offer principled way book provides extensive theoretical account fundamental idea underlying machine learning mathematical derivation transform principle practical algorithm following presentation basic field book cover wide array central topic addressed previous textbook include discussion computational complexity learning concept convexity stability important algorithmic paradigm including stochastic gradient descent neural network structured output learning emerging theoretical concept pacbayes approach compressionbased bound designed advanced undergraduate beginning graduate course text make fundamental algorithm machine learning accessible student nonexpert reader statistic computer science mathematics engineering,positive
71,significance breakthrough machine learning artificial intelligence changing society fundamental understanding lagged behind traditionally believed fitting model training data exactly avoided lead poor performance unseen data however powerful modern classifier frequently nearperfect fit training disconnect spurred recent intensive research controversy whether theory provides practical insight work show classical theory modern practice reconciled within single unified performance curve propose mechanism underlying emergence believe previously unknown pattern connecting structure performance learning architecture help shape design understanding learning algorithm breakthrough machine learning rapidly changing science society yet fundamental understanding technology lagged far behind indeed one central tenet field biasvariance tradeoff appears odds observed behavior method used modern machinelearning practice biasvariance tradeoff implies model balance underfitting overfitting rich enough express underlying structure data simple enough avoid fitting spurious pattern however modern practice rich model neural network trained exactly fit ie interpolate data classically model would considered overfitted yet often obtain high accuracy test data apparent contradiction raised question mathematical foundation machine learning relevance practitioner paper reconcile classical understanding modern practice within unified performance curve doubledescent curve subsumes textbook ushaped biasvariance tradeoff curve showing increasing model capacity beyond point interpolation result improved performance provide evidence existence ubiquity double descent wide spectrum model datasets posit mechanism emergence connection performance structure machinelearning model delineates limit classical analysis implication theory practice machine learning,positive
73,paper expanded invited talk aisec discus emerging field study adversarial machine learningthe study effective machine learning technique adversarial opponent paper give taxonomy classifying attack online machine learning algorithm discus applicationspecific factor limit adversary capability introduce two model modeling adversary capability explore limit adversary knowledge algorithm feature space training input data explore vulnerability machine learning algorithm discus countermeasure attack introduce evasion challenge discus privacypreserving learning technique,positive
75,context science wellknown adage picture worth thousand word might well model worth thousand datasets scientific model newtonian physic biological gene regulatory network humandriven simplification complex phenomenon serve surrogate countless experiment validated model recently machine learning able overcome inaccuracy approximate modeling directly learning entire set nonlinear interaction data however without predetermined structure scientific basis behind problem machine learning approach flexible dataexpensive requiring large database homogeneous labeled training data central challenge reconciling data odds simplified model without requiring big data work demonstrate mathematical object denote universal differential equation udes utilized theoretical underpinning diverse array problem scientific machine learning yield efficient algorithm generalized approach ude model augments scientific model machinelearnable structure scientificallybased learning show udes utilized discover previously unknown governing equation accurately extrapolate beyond original data accelerate model simulation time dataefficient manner advance coupled opensource software allows training udes incorporate physical constraint delayed interaction implicitlydefined event intrinsic stochasticity model example show diverse set computationallydifficult modeling issue across scientific discipline automatically discovering biological mechanism accelerating training physicsinformed neural network largeeddy simulation transformed ude training problem efficiently solved single software methodology,positive
77,machine learning technology used context affect citizen company well researcher need confident unexpected social implication bias towards gender ethnicity andor people disability significant literature approach mitigate bias promote fairness yet area complex hard penetrate newcomer domain article seek provide overview different school thought approach aim increase fairness machine learning organizes approach widely accepted framework preprocessing inprocessing postprocessing method subcategorizing method area although much literature emphasizes binary classification discussion fairness regression recommender system unsupervised learning also provided along selection currently available open source library article concludes summarizing open challenge articulated five dilemma fairness research,positive
